\n--- Sheet: Sheet1 ---\n                    S NO                                                     Keywords                                    Search Volume                                                               Difficulty 
0                      1                                                health faucet                                             27.1k                                                                     Hard
1                      2                                            health faucet gun                                              2.4k                                                                     Hard
2                      3                                          health faucet price                                                1k                                                                   Medium
3                      4                                     health faucet for toilet                                               800                                                                   Medium
4                      5                                                health closet                                               450                                                                   Medium
5                      6                                                  hand faucet                                              2.9k                                                                     Hard
6                      7                                           toilet hand faucet                                               880                                                                   Medium
7                      8                                            health faucet set                                               590                                                                   Medium
8                      9                                          brass health faucet                                               260                                                                   Medium
9                     10                                               health faucets                                               390                                                                   Medium
10                    11                                             toilet jet spray                                             14.8k                                                                     Hard
11                    12                                    portable toilet jet spray                                              1.9k                                                                     Hard
12                    13                                       toilet jet spray price                                               720                                                                   Medium
13                    14                                    toilet jet spray with tap                                               390                                                                   Medium
14                    15                                           portable jet spray                                              6.6k                                                                     Hard
15                    16                                             jet spray toilet                                              2.4k                                                                     Hard
16                    17                         health faucet manufacturers in india                                                10                                                                   Medium
17                    18                          health faucet manufacturer in delhi                                                40                                                                   Medium
18                    19                                   health faucet manufacturer                                                70                                                                   Medium
19                    20                                         health faucet brands                                                40                                                                   Medium
20                    21                                    best health faucet brands                                                10                                                                   Medium
21                    22                                health faucet brands in india                                                10                                                                   Medium
22                    23                                       faucet manufacturers\t                                               320                                                                   Medium
23                    24                           best bathroom faucet manufacturers                                               390                                                                   Medium
24                    25                                    best faucet manufacturers                                               110                                                                   Medium
25                   NaN                                                          NaN                                               NaN                                                                      NaN
26                   NaN                                                          NaN                                               NaN                                                                      NaN
27  Competitors Analysis                                                          NaN                                               NaN                                                                      NaN
28                  S NO                                               Website Url's   Estimate Monthly Traffic for Particular Category                                                     Top Keyword Ranking 
29                     1      https://www.kohler.co.in/p/toilets/shop-health-faucets?                                              1.4k                    Health faucet\nhealth faucet price\nHealth faucet gun
30                     2       https://www.waterscience.in/collections/health-faucet?                                              2.1k  health faucet\nfaucet\nhealth faucet price\nhand faucet\nhealth faucets
31                     3                   https://hindware.com/c/bath/health-faucets                                               800                  health faucet\nhealth faucet price\nhealth faucet gun\n
32                     4  https://www.parkerbathconcept.com/brass-health-faucets.html                                               Nil                                   Entire website is not getting traffic 
33                     5                                                          NaN                                               NaN                                                                      NaN
